source,tag,se_target,mean_items,median_items,pct_items,corr,mae,n_bank_items
local,local_arc_2pl,0.41,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.4,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.39,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.38,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.37,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.36,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.35,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.34,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.33,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.32,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.31,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.3,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.29,8.0,8.0,1.05,0.8615,0.0825,759
local,local_arc_2pl,0.28,8.23,8.0,1.08,0.8645,0.0811,759
local,local_arc_2pl,0.27,8.31,8.0,1.09,0.8606,0.0804,759
local,local_arc_2pl,0.26,8.69,8.0,1.15,0.8537,0.0795,759
local,local_arc_2pl,0.25,8.92,8.0,1.18,0.8604,0.0805,759
local,local_arc_2pl,0.24,9.46,8.0,1.25,0.8637,0.0801,759
local,local_arc_2pl,0.23,10.23,8.0,1.35,0.8437,0.0811,759
local,local_arc_2pl,0.22,11.31,10.0,1.49,0.8385,0.0817,759
local,local_arc_2pl,0.21,13.08,11.0,1.72,0.85,0.0843,759
local,local_arc_2pl,0.2,14.62,12.0,1.93,0.8416,0.087,759
local,local_arc_2pl,0.19,16.77,14.0,2.21,0.8449,0.0845,759
local,local_arc_2pl,0.18,19.38,16.0,2.55,0.8687,0.0817,759
local,local_arc_2pl,0.17,23.0,20.0,3.03,0.8992,0.0786,759
local,local_arc_2pl,0.16,27.0,25.0,3.56,0.9038,0.0757,759
local,local_arc_2pl,0.15,32.85,30.0,4.33,0.9196,0.0739,759
local,local_arc_2pl,0.14,41.0,38.0,5.4,0.9375,0.0722,759
local,local_arc_2pl,0.13,52.69,49.0,6.94,0.9536,0.072,759
local,local_arc_2pl,0.12,71.08,64.0,9.36,0.965,0.072,759
local,local_arc_1pl,0.5,13.69,14.0,1.8,0.7291,0.079,759
local,local_arc_1pl,0.49,14.38,14.0,1.9,0.7249,0.0802,759
local,local_arc_1pl,0.48,15.08,15.0,1.99,0.7505,0.0839,759
local,local_arc_1pl,0.47,16.0,16.0,2.11,0.8053,0.0789,759
local,local_arc_1pl,0.46,16.85,17.0,2.22,0.8342,0.0731,759
local,local_arc_1pl,0.45,17.77,18.0,2.34,0.8573,0.0713,759
local,local_arc_1pl,0.44,18.69,19.0,2.46,0.8818,0.0713,759
local,local_arc_1pl,0.43,19.77,19.0,2.6,0.8869,0.0631,759
local,local_arc_1pl,0.42,20.85,21.0,2.75,0.8964,0.0671,759
local,local_arc_1pl,0.41,22.15,22.0,2.92,0.9387,0.0589,759
local,local_arc_1pl,0.4,23.38,23.0,3.08,0.9289,0.0589,759
local,local_arc_1pl,0.39,24.62,24.0,3.24,0.9462,0.0597,759
local,local_arc_1pl,0.38,26.31,26.0,3.47,0.9465,0.0513,759
local,local_arc_1pl,0.37,27.69,27.0,3.65,0.9554,0.0524,759
local,local_arc_1pl,0.36,29.62,29.0,3.9,0.9508,0.0506,759
local,local_arc_1pl,0.35,31.31,31.0,4.12,0.957,0.0495,759
local,local_arc_1pl,0.34,33.31,33.0,4.39,0.9504,0.0468,759
local,local_arc_1pl,0.33,35.62,35.0,4.69,0.9616,0.0448,759
local,local_arc_1pl,0.32,37.92,37.0,5.0,0.9726,0.046,759
local,local_arc_1pl,0.31,40.31,40.0,5.31,0.977,0.0456,759
local,local_arc_1pl,0.3,43.38,43.0,5.72,0.976,0.05,759
local,local_arc_1pl,0.29,46.31,46.0,6.1,0.9772,0.0542,759
local,local_arc_1pl,0.28,50.0,49.0,6.59,0.9753,0.0598,759
local,local_arc_1pl,0.27,54.08,53.0,7.12,0.9698,0.0574,759
local,local_arc_1pl,0.26,58.54,57.0,7.71,0.9781,0.0616,759
local,local_arc_1pl,0.25,63.69,63.0,8.39,0.9759,0.0648,759
local,local_arc_1pl,0.24,69.23,68.0,9.12,0.9707,0.0639,759
local,local_arc_1pl,0.23,75.54,74.0,9.95,0.9777,0.0652,759
local,local_arc_1pl,0.22,82.62,82.0,10.88,0.9735,0.0649,759
local,local_arc_1pl,0.21,91.08,90.0,12.0,0.9792,0.0644,759
local,local_arc_1pl,0.2,100.46,99.0,13.24,0.9772,0.0631,759
local,local_arc_1pl,0.19,111.38,110.0,14.68,0.9833,0.0617,759
local,local_arc_1pl,0.18,124.31,123.0,16.38,0.9881,0.062,759
local,local_arc_1pl,0.17,139.62,139.0,18.39,0.99,0.0597,759
local,local_arc_1pl,0.16,158.62,157.0,20.9,0.9864,0.06,759
local,local_arc_1pl,0.15,182.0,181.0,23.98,0.9871,0.0597,759
local,local_arc_1pl,0.14,211.85,210.0,27.91,0.9905,0.0633,759
local,local_arc_1pl,0.13,250.54,247.0,33.01,0.9846,0.0663,759
local,local_arc_1pl,0.12,303.54,298.0,39.99,0.9851,0.0684,759
